location_city_te,location_te,type_Building,type_Commercial Plot,type_Flat,type_House,type_Residential Plot,type_Shop,location_province_ Islamabad Capital,location_province_ Khyber Pakhtunkhwa,location_province_ Punjab,location_province_ Sindh,bedroom_imputed,bath,area_sqft,days_since_posted,price_million,log_price,log_area,price_per_sqft,log_price_per_sqft,log_area_price_ratio,location_city,location
68.09608554160855,37.78055555555555,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6,6,3865.95,4,60.0,4.110873864173311,8.26022136160387,15516.10442338277,9.649698205672411,0.4976710897374816, Islamabad,DHA Defence
68.09608554160855,18.37261780104712,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,6,2178.0,4,26.5,3.3141860046725258,7.68662133494462,12161.54199173933,9.40611617904652,0.4311628515434801, Islamabad,G-15
68.09608554160855,78.05733333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,4,1905.75,4,58.0,4.07753744390572,7.553155501044348,30418.250950570346,10.322830941925975,0.5398454862337267, Islamabad,G-16
68.09608554160855,37.78055555555555,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6,6,3865.95,4,60.0,4.110873864173311,8.26022136160387,15516.10442338277,9.649698205672411,0.4976710897374816, Islamabad,B-17
68.09608554160855,73.65238095238095,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3,1415.7,4,34.0,3.555348061489413,7.2560855023853055,23999.43530740453,10.085827246974116,0.4899814879991656, Islamabad,Islamabad - Murree Expressway
68.09608554160855,37.78055555555555,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,2178.0,4,37.0,3.6375861597263857,7.68662133494462,16980.26617714548,9.739866025821712,0.4732359677916442, Islamabad,Mumtaz City
68.09608554160855,18.37261780104712,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,4,1361.25,4,16.5,2.862200880929469,7.216893023463208,12112.31418608919,9.402060472605722,0.3965973272745897, Islamabad,Pir Sohawa
68.09608554160855,18.37261780104712,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,4,2178.0,4,30.0,3.4339872044851463,7.68662133494462,13767.783386874711,9.53015923537747,0.4467485268365129, Islamabad,DHA Defence
68.09608554160855,18.37261780104712,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,6,2722.5,2,45.0,3.828641396489095,7.909673096823729,16522.856618322014,9.71256047130169,0.4840454043519384, Islamabad,G-13
68.09608554160855,65.14657894736843,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3,2668.05,4,27.0,3.332204510175204,7.889477882837145,10115.958861767294,9.221968389949456,0.422360533523211, Islamabad,G-15
68.09608554160855,122.78260869565216,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2,1742.4,5,25.5,3.277144732992177,7.4635925085774755,14626.591717333944,9.590664867841602,0.4390840322729184, Islamabad,DHA Defence
68.09608554160855,18.37261780104712,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,6,2722.5,4,41.5,3.7495040759303713,7.909673096823729,15237.745548008075,9.631596512729896,0.4740402739774135, Islamabad,F-10
68.09608554160855,37.78055555555555,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,2178.0,4,43.0,3.784189633918261,7.68662133494462,19733.822854520426,9.890140011847915,0.4923085158893168, Islamabad,DHA Defence
68.09608554160855,34.03302845528455,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5,2178.0,4,29.5,3.417726683613366,7.68662133494462,13538.3203304268,9.513353348044369,0.4446330956154605, Islamabad,Kashmir Highway
68.09608554160855,73.65238095238095,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5,2722.5,2,59.0,4.0943445622221,7.909673096823729,21663.30089957775,9.983421064997827,0.5176375805251265, Islamabad,Chak Shahzad
68.09608554160855,34.03302845528455,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,6,3267.0,4,48.0,3.8918202981106265,8.091933455979893,14687.882496940025,9.59484619390804,0.4809505464091586, Islamabad,G-15
68.09608554160855,18.8105504587156,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5,1361.25,4,23.0,3.1780538303479458,7.216893023463208,16883.83189576069,9.73417097693716,0.4403631008042538, Islamabad,B-17
68.09608554160855,19.335,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5,1905.75,5,29.5,3.417726683613366,7.553155501044348,15471.351776583191,9.64680995377013,0.4524898541610794, Islamabad,B-17
68.09608554160855,78.05733333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,2178.0,5,70.0,4.262679877041316,7.68662133494462,32124.827902707664,10.377415593155956,0.5545582560577339, Islamabad,DHA Defence
68.09608554160855,40.5945945945946,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3,1361.25,4,12.5,2.602689685444384,7.216893023463208,9175.995595522114,9.124455152871432,0.360638479238111, Islamabad,B-17
68.09608554160855,78.05733333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5,1905.75,4,60.0,4.110873864173311,7.553155501044348,31467.156155762423,10.356731397803747,0.5442590609111456, Islamabad,G-11
