location_city_te,location_te,type_Building,type_Commercial Plot,type_Flat,type_House,type_Residential Plot,type_Shop,location_province_ Islamabad Capital,location_province_ Khyber Pakhtunkhwa,location_province_ Punjab,location_province_ Sindh,bedroom_imputed,bath,area_sqft,days_since_posted,price_million,log_price,log_area,price_per_sqft,log_price_per_sqft,log_area_price_ratio
68.09608554160855,37.78055555555555,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6,6,3865.95,4,60.0,4.110873864173311,8.26022136160387,15516.10442338277,9.649698205672413,0.4976710897374816
68.09608554160855,18.37261780104712,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,6,2178.0,4,26.5,3.3141860046725258,7.68662133494462,12161.54199173933,9.406116179046519,0.4311628515434801
68.09608554160855,78.05733333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,4,1905.75,4,58.0,4.07753744390572,7.553155501044348,30418.250950570342,10.322830941925975,0.5398454862337267
68.09608554160855,37.78055555555555,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6,6,3865.95,4,60.0,4.110873864173311,8.26022136160387,15516.10442338277,9.649698205672413,0.4976710897374816
68.09608554160855,73.65238095238095,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3,1415.7,4,34.0,3.5553480614894135,7.2560855023853055,23999.435307404532,10.085827246974116,0.48998148799916563
68.09608554160855,37.78055555555555,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,2178.0,4,37.0,3.6375861597263857,7.68662133494462,16980.26617714548,9.739866025821712,0.47323596779164423
68.09608554160855,18.37261780104712,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,4,1361.25,4,16.5,2.8622008809294686,7.216893023463208,12112.31418608919,9.402060472605722,0.39659732727458974
68.09608554160855,18.37261780104712,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,4,2178.0,4,30.0,3.4339872044851463,7.68662133494462,13767.783386874713,9.53015923537747,0.4467485268365129
68.09608554160855,18.37261780104712,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,6,2722.5,2,45.0,3.828641396489095,7.909673096823729,16522.856618322014,9.71256047130169,0.4840454043519384
68.09608554160855,65.14657894736843,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3,2668.05,4,27.0,3.332204510175204,7.889477882837145,10115.958861767294,9.221968389949456,0.42236053352321107
68.09608554160855,122.78260869565217,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2,1742.4,5,25.5,3.2771447329921766,7.4635925085774755,14626.591717333944,9.590664867841602,0.4390840322729184
68.09608554160855,18.37261780104712,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,6,2722.5,4,41.5,3.7495040759303713,7.909673096823729,15237.745548008077,9.631596512729896,0.4740402739774135
68.09608554160855,37.78055555555555,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,2178.0,4,43.0,3.784189633918261,7.68662133494462,19733.822854520422,9.890140011847917,0.4923085158893168
68.09608554160855,34.03302845528455,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5,2178.0,4,29.5,3.417726683613366,7.68662133494462,13538.3203304268,9.513353348044367,0.44463309561546055
68.09608554160855,73.65238095238095,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5,2722.5,2,59.0,4.0943445622221,7.909673096823729,21663.30089957775,9.983421064997827,0.5176375805251265
68.09608554160855,34.03302845528455,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,6,3267.0,4,48.0,3.8918202981106265,8.091933455979893,14687.882496940025,9.59484619390804,0.4809505464091586
68.09608554160855,18.810550458715596,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5,1361.25,4,23.0,3.1780538303479458,7.216893023463208,16883.83189576069,9.734170976937161,0.44036310080425384
68.09608554160855,19.335,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5,1905.75,5,29.5,3.417726683613366,7.553155501044348,15471.351776583191,9.64680995377013,0.45248985416107945
68.09608554160855,78.05733333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,2178.0,5,70.0,4.2626798770413155,7.68662133494462,32124.827902707664,10.377415593155957,0.5545582560577339
68.09608554160855,40.5945945945946,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3,1361.25,4,12.5,2.6026896854443837,7.216893023463208,9175.995595522114,9.124455152871432,0.36063847923811104
68.09608554160855,78.05733333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5,1905.75,4,60.0,4.110873864173311,7.553155501044348,31467.156155762423,10.356731397803747,0.5442590609111456
68.09608554160855,50.91835616438356,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,735.08,1,5.0,1.791759469228055,6.601338808474106,6792.739919573959,8.823756867089056,0.2714236081178525
68.09608554160855,73.03571428571429,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7,7,2967.53,5,80.0,4.394449154672439,7.995822159773863,26949.365510875752,10.20175213880086,0.5495930896496618
